| 镜号 | 景别 | 画面内容 | 运镜 | 台词 | 音效 | 特效 |
|---|---|---|---|---|---|---|
| 63 | ECU | 林晚意的瞳孔因震惊而微微放大，但瞬间收缩如针尖。她下颌线绷紧。 | 固定 | （声音极轻，却带着冰碴）...是谁？ | 她自己骤然加速、又被强行压制的心跳声（沉闷如鼓） | 她眼中飞速闪过的破碎画面定格——前世订婚宴阴影里，一个模糊但熟悉的侧影轮廓（陆父？或更意想不到的人） |
| 64 | MS | 沈聿踱步到落地窗前，背对林晚意，俯瞰城市。他的背影在变暗的光线中显得格外孤高。 | 低角度仰拍（沈聿背影） | （沈聿）一个你绝对想不到，也绝不愿意相信的人。一个...你以为可以信任的“自己人”。 | 窗外风声渐起，吹动窗帘 | 窗玻璃上，模糊地映出沈聿冷笑的嘴角，和林晚意僵立的身影 |
| 65 | CU | 林晚意左手猛地按住胸口，仿佛被无形的利刃刺中。前世被最信任之人背叛的剧痛瞬间席卷全身。 | 推进（聚焦她按压胸口的手） | （林晚意，呼吸微乱）...证据。 | 布料被攥紧的摩擦声，她短促的吸气声 | 她按压处，西装下仿佛有幽蓝的光从疤痕位置透出，一闪而逝（与钥匙、原石的神秘联系） |
| 66 | ECU | 沈聿侧过脸，余光瞥向她，眼神中带着一丝怜悯，更多的是审视。 | 固定 | （沈聿）证据？三年前巴黎那场拍卖会的宾客名单，经手那杯香槟的服务生账户变动，还有...指使我的人与你父亲三年前一笔秘密担保的关联记录。这些，够吗？ | 他手指轻敲窗框的规律声响 | 他每说一项，窗玻璃上就仿佛有对应的文字或数字光影快速闪过，随即湮灭 |
| 67 | MCU | 林晚意强迫自己松开按在胸口的手，站直身体。所有脆弱被强行压回冰封之下。她走向展柜，与沈聿并肩而立，同样望向窗外。 | 跟拍（她走向窗边） | （林晚意，声音恢复冰冷）条件。说出名字，你的条件。 | 高跟鞋稳定落地的声音，与沈聿敲击窗框的节奏形成对抗 | 两人并肩的倒影映在窗上，看似同盟，实则暗流汹涌 |
| 68 | CU | 沈聿终于完全转过身，面对林晚意，两人距离极近，能看清彼此眼中最细微的情绪。 | 推进（在两人面部之间切换） | （沈聿）合作，如我刚才所说。矿脉开采权，我们联手拿下。事成之后，名字和所有证据，双手奉上。并且...（停顿）“蓝钻之心”归你，它本该是你的。 | 两人轻微的呼吸声交织 | 他们之间的空气中，红蓝两色钥匙的虚影短暂浮现、碰撞、交融，象征可能的合作与对抗 |
| 69 | ECU | 林晚意直视沈聿的眼睛，试图从中找出欺骗的痕迹。沈聿坦然回视。 | 固定 | （林晚意）我凭什么信你？ | 展厅内绝对的寂静，连恒温系统的声音都消失了 | 两人对视的视线仿佛在空气中激起无形的火花与冰晶 |
| 70 | MS | 沈聿忽然抬手，指向窗外苏黎世湖对岸一栋古老的建筑。 | 跟拍（他手指方向） | （沈聿）凭那个。苏黎世大教堂的钟楼。三年前，指使我的人，就在那里看着你喝下那杯酒。今天下午两点，同样的位置，他会出现，观看这场拍卖。你敢不敢，亲自去确认？ | 远处隐约传来教堂浑厚的钟声，正好敲响一下 | 他手指方向，教堂钟楼的窗户在逆光中仿佛一只凝视的眼睛 |
| 71 | CU | 林晚意顺着他的手指望去，眼神锐利如鹰。她左手手腕的疤痕传来灼烧般的刺痛。 | 推进（聚焦她凝视的侧脸） | （林晚意，低声）...时间，地点，特征。 | 钟声余韵在空气中震颤 | 她凝视的方向，画面边缘出现重影——三年前巴黎拍卖会场景与此刻苏黎世景象短暂重叠 |
| 72 | LS | 沈聿从西装内袋取出一张折叠的便签，放在展柜顶上，与红色钥匙并排。然后，他后退两步，做出“请便”的手势。 | 拉远（展示便签、钥匙、以及两人之间拉开的距离） | （沈聿）信息在便签上。林小姐，选择权在你。是继续追查真相，与虎谋皮；还是转身离开，但永远活在“信任”的阴影里？ | 便签纸落在玻璃上的轻微声响 | 便签纸上隐约有荧光笔标记的痕迹，在昏暗光线下微微发亮 |
| 73 | MCU | 林晚意没有立刻去拿便签。她再次看向沈聿，眼神复杂，最终化为一片深不见底的寒潭。 | 固定 | （林晚意）合作可以。但规则由我定。第一，所有行动信息同步。第二，矿脉利益，我要六成。第三...（停顿）在见到那个人之前，你和我，互相监督。谁有异动，合作即刻终止，并且...我会让你付出比陆子谦惨痛十倍的代价。 | 她的话语如同冰珠落地，清晰冷硬 | 她说话时，身后玻璃展柜上的幽蓝符文再次亮起，仿佛在响应她的决断与力量 |
| 74 | ECU | 沈聿闻言，先是挑眉，随即低笑出声，笑声中带着一丝欣赏和更深的玩味。 | 固定 | （沈聿）成交。林晚意，你果然...和传闻中一样，不，比传闻更有趣。那么，合伙人，下午两点，教堂钟楼见。 | 他低沉的笑声在展厅内回荡 | 他眼中闪过一丝算计得逞的精光，但很快被笑意掩盖 |
| 75 | LS | 林晚意不再多言，上前一把抓起展柜上的便签和那把红色钥匙，转身，头也不回地走向大门。背影决绝。沈聿站在原地，目送她离开，嘴角笑意渐深。 | 拉远（跟随林晚意离开，沈聿留在画面深处） | （无） | 高跟鞋声再次响起，渐行渐远。大门开启又关闭的沉重声响。 | 林晚意离开后，沈聿身后的落地窗玻璃上，缓缓浮现出一个复杂的、由光线构成的契约符文，将两人的倒影笼罩其中，随即隐去。 |

