| 镜号 | 景别 | 画面内容 | 运镜 | 台词 | 音效 | 特效 |
|---|---|---|---|---|---|---|
| 51 | LS | 男人缓缓转身，逆光中面容逐渐清晰。他约莫三十五六岁，五官深邃，眼神带着一种审视猎物的兴味。他手中把玩着一枚未切割的深蓝色原石。 | 推进（聚焦男人面容） | （男人，轻笑）死过一次？这说法有趣。我是沈聿，我想，我们该重新认识一下。 | 原石在掌心滚动、摩擦的细微声响 | 逆光消退，展厅柔和的射灯照亮沈聿的脸，他嘴角的笑意不达眼底 |
| 52 | MCU | 林晚意迈步走入展厅，步伐稳定，在距离沈聿五步远处停下。目光扫过他手中的原石。 | 跟拍（林晚意移动） | （林晚意）沈先生。用三年前的龌龊手段引我来，就为了说这句废话？ | 高跟鞋踩在光滑大理石地面上的清脆回响 | 她与沈聿之间的空气仿佛因对峙而微微扭曲 |
| 53 | CU | 沈聿将原石举到眼前，透过射灯观察其内部，蓝光在他眸中折射。 | 固定 | （沈聿）龌龊？那杯香槟，不过是测试。测试林家的继承人，有没有资格坐在牌桌上。你当时的表现…很令人失望。 | 原石轻微碰撞指尖的脆响 | 原石内部仿佛有星云状的蓝色光晕流转、扩散 |
| 54 | ECU | 林晚意左手手腕的疤痕传来一阵尖锐的幻痛，她右手猛地攥紧，指甲陷入掌心。 | 推进（聚焦她紧握的拳） | （林晚意，声音压低，寒意刺骨）所以，你现在看到了？我有没有资格？ | 指甲掐入掌心的细微摩擦声，她压抑的呼吸声 | 疤痕处皮肤下仿佛有幽蓝的光一闪而逝（与原石呼应） |
| 55 | MS | 沈聿放下原石，走向中央空置的玻璃展柜，手指轻轻划过玻璃表面。 | 低角度仰拍（沈聿） | （沈聿）资格，不是用愤怒证明的。“蓝钻之心”就在里面，但需要两把钥匙才能打开。一把在我这里，另一把… | 指尖划过玻璃的尖锐嘶鸣 | 他手指划过处，玻璃展柜内部突然亮起复杂的、幽蓝色的符文脉络，一闪即逝 |
| 56 | CU | 林晚意从西装内袋取出那枚古朴的、嵌有幽蓝宝石的钥匙。 | 固定 | （林晚意）另一把，三年前就该属于我。是你的人，在“意外”后把它偷走了。 | 钥匙与布料摩擦的声响 | 钥匙上的宝石与展柜符文同时发出微弱的共鸣蓝光 |
| 57 | MCU | 沈聿也取出一枚几乎一模一样的钥匙，只是宝石是深红色。两把钥匙隔着展柜遥遥相对。 | 甩镜（从林晚意钥匙甩到沈聿钥匙） | （沈聿）物归原主？可以。但有个条件。 | 两把钥匙被同时举起时，空气中响起极轻微的、类似金属震颤的嗡鸣 | 红蓝两色宝石的光芒开始不稳定地脉动，仿佛在互相排斥又吸引 |
| 58 | ECU | 林晚意眼神锐利如刀，直视沈聿。 | 固定 | （林晚意）说。 | 展厅内恒温系统似乎停顿了一瞬，绝对的寂静 | 她眼中倒映出沈聿手中红色钥匙的妖异光芒 |
| 59 | MS | 沈聿将红色钥匙轻轻放在展柜顶上，双手插回西装裤袋，姿态放松却充满掌控感。 | 拉远（展示两人对峙与展柜） | （沈聿）和我合作。拿下这次拍卖会的压轴——不是“蓝钻之心”，而是它背后代表的，南非那座新发现的钻石矿脉开采权。陆家，不过是开胃小菜。真正的战场，在这里。 | 远处苏黎世湖传来隐约的游轮汽笛声 | 展柜玻璃表面，随着他的话语，隐约浮现出非洲大陆的轮廓和矿脉标记，随即消失 |
| 60 | CU | 林晚意沉默了三秒，忽然嗤笑一声，将钥匙收回口袋，转身作势要走。 | 跟拍（她转身动作） | （林晚意）合作？和一个用下药来“测试”合作伙伴的人？沈先生，你的信用，在我这里早已破产。 | 布料摩擦的急促声响，她转身带起的风声 | 她转身时，手腕疤痕处的幻痛达到顶点，画面边缘出现瞬间的模糊与重影（象征前世记忆冲击） |
| 61 | ECU | 沈聿脸上的玩味笑容瞬间消失，眼神变得深沉莫测。 | 固定 | （沈聿，声音冷了下来）那你就不想知道，三年前指使我“测试”你的人，是谁吗？ | 他的声音在空旷展厅里产生轻微的回音，显得格外阴冷 | 他身后的落地窗外，一片乌云遮住了阳光，展厅内光线骤然变暗 |
| 62 | MCU | 林晚意脚步顿住，背影僵硬了一瞬，随即缓缓转回身。她的脸上没有任何表情，但眼神深处掀起了惊涛骇浪。 | 慢速推进（聚焦她回眸的瞬间） | （林晚意，一字一顿）是…谁？ | 她自己骤然加速、又被强行压制的心跳声（沉闷如鼓） | 她回眸的瞬间，眼中仿佛有破碎的画面飞速闪过——前世订婚宴上，除了陆子谦和苏婉儿，还有几个模糊的、站在阴影里的身影 |

