| 镜号 | 景别 | 画面内容 | 运镜 | 台词 | 音效 | 特效 |
|---|---|---|---|---|---|---|
| 15 | LS | 林晚意推开画廊后巷的消防门，踏入夜色。巷口，一辆黑色轿车无声滑停，车灯闪烁两下。 | 跟拍（林晚意背影） | （对电话）嗯，我看到了。 | 消防门关闭的闷响，轮胎碾过湿滑路面的细微声响 | 车灯在潮湿地面拉出长长的、破碎的光影 |
| 16 | MCU | 林晚意走向轿车，车窗降下，露出顾知行冷静的侧脸。她拉开车门坐入副驾。 | 从车内向外拍 | （对顾知行）东西呢？ | 车门关闭的厚重声，引擎低鸣 | 车内仪表盘的冷光映亮林晚意半边脸庞 |
| 17 | CU | 顾知行将一个密封的档案袋递给她，眼神复杂。 | 固定 | （顾知行）原件，还有陆振国签字的协议副本。晚意，你确定要这么做？陆家不会善罢甘休。 | 档案袋放在皮质座椅上的摩擦声 | 档案袋封口处火漆印章的特写 |
| 18 | ECU | 林晚意的手指抚过火漆印章，动作轻柔却带着决绝。 | 推进 | （平静）他们没机会了。协议生效，画廊和资产立刻冻结、清算。陆振国自身难保。 | 指尖划过纸张的沙沙声 | 火漆印章在林晚意指下仿佛微微发烫（心理暗示） |
| 19 | MS | 车内。顾知行启动车子，汇入车流。林晚意降下车窗，让夜风吹拂脸庞。 | 从车外向内拍（移动） | （顾知行）经侦科那边，陆子谦和苏婉儿已经正式批捕。你父亲那边... | 窗外呼啸的风声，城市夜晚的嘈杂背景音 | 车窗外的霓虹灯光在林晚意脸上快速掠过，光影流动 |
| 20 | CU | 林晚意闭上眼，深深吸了一口气，再睁开时，眼底最后一丝波澜也已平息。 | 固定 | （打断）我爸那边，我会处理。现在，去机场。 | 她自己的呼吸声（清晰） | 无 |
| 21 | MCU | 顾知行猛地转头看她，车速微缓。 | 甩镜 | （顾知行）机场？现在？ | 轮胎轻微打滑的声音 | 无 |
| 22 | ECU | 林晚意从手包中取出另一部手机，屏幕亮起，显示着一张今晚飞往瑞士的机票信息。 | 推进（聚焦手机屏幕） | （语气不容置疑）苏黎世。有一场私人拍卖会，明天下午。那里有我需要的东西，也是时候...见见“老朋友”了。 | 手机按键音（古典而清脆） | 机票信息上目的地“Zürich”字样高亮 |
| 23 | LS | 黑色轿车在夜色中加速，驶向城市边缘的机场高速，尾灯划出红色的轨迹。后视镜中，画廊所在的街区已被警灯染成一片红蓝。 | 拉远（从车后跟随） | （林晚意，对着窗外低语）游戏结束了，陆子谦。我的游戏，才刚刚开始。 | 引擎轰鸣声渐强，警笛声被远远抛在身后 | 车尾灯的光轨在画面中拖长、消散，象征一个阶段的终结 |

