| 镜号 | 景别 | 画面内容 | 运镜 | 台词 | 音效 | 特效 |
|---|---|---|---|---|---|---|
| 43 | LS | 林晚意跟随汉斯穿过休息室，走向一扇隐蔽的金属门。门上的标识是“员工专用”。 | 跟拍（两人背影） | （汉斯）请。他在顶楼的私人展厅等您。 | 金属门滑开的轻微液压声，远处隐约的航班广播 | 金属门表面反射出林晚意模糊而警惕的倒影 |
| 44 | MCU | 电梯内。空间狭小，只有他们两人。汉斯按下顶层按钮，然后退到角落，目不斜视。 | 固定（电梯内监控视角） | （林晚意，盯着楼层数字）三年前的“意外”，他倒是记得清楚。 | 电梯上升的轻微嗡鸣，缆绳摩擦声 | 楼层数字快速跳动，红光闪烁 |
| 45 | ECU | 林晚意左手手腕的疤痕在电梯顶灯照射下显得清晰了一些。她右手拇指用力按压上去，用痛感保持清醒。 | 推进（聚焦手腕） | （内心独白，无声）巴黎，地下拍卖会，那杯被下了药的香槟…原来幕后黑手是他。 | 她自己压抑的呼吸声，心跳声略微加速 | 疤痕周围皮肤因按压而微微泛红，仿佛在灼烧 |
| 46 | MS | 电梯门开，眼前是一条极简风格的走廊，尽头是双开的厚重木门。两名黑衣保镖分立两侧。 | 从电梯内向外拍 | （汉斯）林小姐，请。我只能送您到这里。 | 电梯“叮”的提示音，走廊空旷的回音 | 走廊光线昏暗，只有尽头门缝下透出一线暖黄的光 |
| 47 | CU | 林晚意深吸一口气，整理了一下西装外套的领口，眼神恢复绝对的冷静与锐利。 | 固定 | （对汉斯）你可以走了。 | 布料整理时细微的摩擦声 | 她眼中最后一丝情绪波动被彻底冰封 |
| 48 | LS | 林晚意独自走向尽头的大门。高跟鞋的声音在走廊里被地毯吸收，只剩下几乎不可闻的闷响。保镖为她推开大门。 | 低角度仰拍（林晚意走向光源） | （无） | 厚重木门开启时悠长的“吱呀”声 | 门内涌出的暖黄光线瞬间吞没她的身影，形成强烈剪影 |
| 49 | MS | 门内是一个圆形展厅，中央有玻璃展柜，里面空无一物。一个背对着门的男人站在落地窗前，俯瞰着苏黎世湖景。 | 拉远（展示全景） | （男人，声音低沉，带着一丝玩味）林小姐，别来无恙。三年了，你手腕上的伤，还疼吗？ | 窗外隐约的湖风声，展厅内恒温系统轻微的运转声 | 男人背影在逆光中形成一个极具压迫感的剪影 |
| 50 | ECU | 林晚意停在门口，目光锁定那个背影，瞳孔深处有烈焰一闪而过。 | 固定 | （声音平稳，却字字如冰）托你的福，死过一次，就不觉得疼了。 | 她自己平稳到近乎冷酷的呼吸声 | 她眼中倒映着男人的背影，仿佛有冰冷的火焰在燃烧 |

