| 镜号 | 景别 | 画面内容 | 运镜 | 台词 | 音效 | 特效 |
|---|---|---|---|---|---|---|
| 24 | ECU | 手机屏幕熄灭，倒映出林晚意冷冽的侧脸轮廓。 | 固定 | （对顾知行）陆家海运的股份，在我落地前，全部抛售。 | 屏幕锁定的“咔哒”声 | 屏幕暗去瞬间，映出她眼中一闪而过的锐利光芒 |
| 25 | MCU | 顾知行单手操控方向盘，另一只手快速在平板电脑上操作。 | 跟拍（顾知行手部动作） | （顾知行）明白。套现的资金... | 平板电脑触控的轻微点击声 | 平板屏幕上股票交易界面快速滚动、成交 |
| 26 | CU | 林晚意目光投向窗外飞速倒退的城市灯火，左手无意识地摩挲着那道疤痕。 | 推进（聚焦左手手腕） | （打断）全部转入我在苏黎世银行的保密账户。一分不留。 | 车窗外的风声 | 疤痕在忽明忽暗的光线下，仿佛微微凸起（心理意象） |
| 27 | MS | 车内。顾知行完成操作，将平板放下，神色凝重。 | 固定 | （顾知行）晚意，瑞士那边...你确定要现在接触“他们”？风险太高。 | 引擎平稳的运转声 | 车内氛围灯的光线在顾知行脸上投下忧虑的阴影 |
| 28 | ECU | 林晚意嘴角勾起一抹极淡的、近乎残酷的笑意。 | 固定 | （轻声）风险？我重生回来，就是为了把风险攥在自己手里。 | 她自己的心跳声（沉稳有力） | 笑意未达眼底，眼神深处是冰封的湖面 |
| 29 | LS | 轿车驶入机场地下停车场，停在一个僻静的VIP通道入口前。 | 拉远 | （林晚意推开车门）国内的事交给你了。陆家任何反扑，不用留情。 | 车门打开，停车场空旷的回音 | 通道入口的灯光将林晚意的影子拉得很长，显得孤绝而强大 |
| 30 | MCU | 林晚意下车，从后备箱取出一个轻便的登机箱。顾知行也下车，站在车旁。 | 跟拍（林晚意动作） | （顾知行）保重。随时联系。 | 登机箱轮子滚动的声音 | 无 |
| 31 | CU | 林晚意转身，与顾知行对视一眼，点了点头。没有多余的话。 | 固定 | （林晚意）嗯。 | 机场广播遥远的、模糊的播报声 | 两人眼神交汇处，空气仿佛凝滞一瞬 |
| 32 | LS | 林晚意拖着登机箱，头也不回地走进VIP通道。高跟鞋敲击地面的声音在空旷通道里回荡，渐行渐远。顾知行目送她消失，才转身上车。 | 拉远（跟随林晚意背影直至消失） | （无） | 清晰、稳定、逐渐远去的高跟鞋声 | 通道尽头的白光吞噬了她的身影，象征新的征程 |

