| 镜号 | 景别 | 画面内容 | 运镜 | 台词 | 音效 | 特效 |
|---|---|---|---|---|---|---|
| 46 | MCU | 张明抬起颤抖的手，用指关节急促地敲击1808的房门。汗水顺着他的下巴滴落在门前的地垫上。 | 固定 | （嘶哑，喘气）外…外卖！ | 指节叩击木门的“咚咚”声、他喉咙里拉风箱般的喘息 | 汗珠在地垫上迅速洇开深色痕迹 |
| 47 | CU | 门上的猫眼暗了一下，随即恢复。门内传来锁链滑动的声音。 | 推进至猫眼 | （无） | 金属锁链与门板的摩擦声、门内轻微的脚步声 | 猫眼反射出走廊灯光，形成一个微小的光点 |
| 48 | MS | 门打开一条缝，被安全链挂着。一只戴着名贵腕表、皮肤保养得宜的手伸出来，手指不耐烦地勾了勾。 | 低角度仰拍（从张明视角看门缝和手） | （门内，冷漠的男声）给我。 | 安全链绷直的轻微金属声 | 门缝内透出温暖、明亮的室内光线，与昏暗走廊形成对比 |
| 49 | ECU | 张明慌忙将保温箱递上，手指因脱力和紧张而笨拙，差点没拿稳。 | 聚焦于交接保温箱的手 | （喘着气）您…您的餐… | 保温箱塑料外壳摩擦的声响 | 张明黝黑、粗糙、沾着灰尘的手，与门内那只白皙干净的手形成强烈对比 |
| 50 | MCU | 那只手接过保温箱，迅速缩回门内。门缝即将关闭。 | 跟拍手缩回的动作 | （张明，急）师傅！麻烦…点一下…送达…我手机… | 门向内合拢的细微风声 | 门缝迅速变窄，室内光线像刀片一样切过张明焦急的脸 |
| 51 | CU | 门在张明面前“砰”一声关紧。他僵在原地，伸出的手还悬在半空。脸上混杂着疲惫、错愕和一丝茫然。 | 固定 | （无） | 房门关闭的沉重闷响、门内隐约传来的电视新闻声瞬间被隔绝 | 关门的气流微微吹动他额前汗湿的头发 |
| 52 | ECU | 他悬空的手慢慢垂下，无力地落在身侧。手指微微蜷缩。 | 缓慢拉远 | （极轻地，自言自语）…还没点… | 走廊声控灯熄灭的“啪嗒”声、一片死寂 | 画面随着灯灭，陷入大半黑暗，只有安全出口的绿光勾勒出他僵硬的轮廓 |
| 53 | MS | 张明在黑暗中靠着门板，缓缓滑坐在地上。他低下头，双手插入汗湿的头发。肩膀开始难以抑制地轻微颤抖。 | 低角度仰拍（从地面向上） | （压抑的、破碎的喘息）哈…哈… | 粗重但被极力压抑的抽气声、制服布料摩擦的窸窣声 | 安全出口的绿光在他颤抖的背上投下诡异的、跳动的影子 |
| 54 | CU | 他猛地抬起头，眼眶通红，但没有眼泪。他狠狠抹了一把脸，撑着墙壁挣扎着站起来。 | 推进至他通红的眼睛 | （咬牙）手机…得找手机… | 膝盖和关节因用力发出的轻微“咔”声、手掌摩擦墙壁 | 他眼中布满血丝，眼神里是疲惫到极点后残余的执拗 |
| 55 | LS | 他一瘸一拐地走向消防通道，背影在昏暗的绿色应急灯光下，显得格外瘦小、踉跄。 | 跟拍（从背后，缓慢） | （无） | 不均匀的、拖沓的脚步声在空荡走廊回响 | 他的影子被绿光拉得很长，扭曲地投射在墙壁和地面上，逐渐融入楼梯间的黑暗。 |

