| 镜号 | 景别 | 画面内容 | 运镜 | 台词 | 音效 | 特效 |
|---|---|---|---|---|---|---|
| 88 | MCU | 林晚意轻轻推开虚掩的木门，动作缓慢而无声。门内是一个狭窄的观景台，堆放着杂物。一个背对门口、身着深灰色风衣的身影，正举着望远镜望向下方拍卖会所在的建筑。 | 跟拍（林晚意推门进入） | （林晚意，声音平静）下午两点，东侧第三扇窗。你很准时。 | 老旧木门轴转动的轻微吱呀声，窗外风声 | 推开门瞬间，室内昏黄光线与门外楼梯间的昏暗形成强烈对比，尘埃在光柱中飞舞 |
| 89 | CU | 背影闻声，举着望远镜的手微微一顿，随即缓缓放下，但没有立刻转身。 | 固定（聚焦背影） | （背影，声音经过变声器处理，低沉失真）林小姐，比我想象的更有胆量。沈聿告诉你的？ | 望远镜金属部件收缩的轻微咔哒声 | 背影在逆光中轮廓模糊，风衣下摆被窗外的风吹动 |
| 90 | ECU | 林晚意左手在口袋中握紧发烫的钥匙，右手看似随意地垂在身侧，实则肌肉紧绷，随时准备应对袭击。 | 推进（聚焦她紧绷的右手） | （林晚意）不重要。重要的是，你是谁？三年前，为什么？ | 她自己平稳但略快的心跳声（主观） | 钥匙的红光透过布料，在她风衣口袋处形成一个微弱的光晕 |
| 91 | MS | 背影终于转过身。脸上戴着一张毫无特色的白色面具，只露出眼睛和嘴部。面具下的眼睛，平静地打量着林晚意。 | 低角度仰拍（背影转身） | （面具人）我是谁？一个…不想看到林家落入无能者手中的“老朋友”。至于为什么…（轻笑）你觉得，陆子谦那种货色，配得上林家的基业吗？ | 面具下发出的、经过处理的轻笑，带着电子杂音 | 面具眼部空洞后的眼神，锐利而熟悉，让林晚意心脏骤缩 |
| 92 | CU | 林晚意瞳孔骤然收缩，面具人说话的语气、用词习惯…与她记忆中某个极其亲近、信任的长辈高度重合。她呼吸一滞。 | 固定（林晚意面部特写） | （林晚意，声音发紧）…是你？不可能… | 她倒吸一口冷气的声音，被强行压回喉咙 | 她眼前瞬间闪过无数画面碎片——前世，这位“长辈”慈祥的笑容、关切的叮嘱、在父亲病榻前的叹息…与眼前冰冷的面具重叠 |
| 93 | ECU | 面具人向前迈了一步，距离拉近。林晚意能清晰看到他眼中毫无温度的审视。 | 推进（聚焦面具人眼睛） | （面具人）为什么不可能？晚意，你太天真了。商场如战场，感情用事，只会让百年基业毁于一旦。陆子谦是废物，你父亲…也太过优柔。林家，需要更强硬的手腕来掌控。 | 他皮鞋踩在老旧木地板上的声音，清晰而沉重 | 面具眼部空洞后的眼神，冰冷如手术刀，仿佛在解剖林晚意 |
| 94 | MCU | 林晚意强迫自己从震惊中抽离，右手悄悄摸向藏在后腰的微型录音笔。脸上却露出近乎崩溃的脆弱神情。 | 跟拍（她右手小幅度移动） | （林晚意，声音颤抖，带着哭腔）所以…三年前巴黎，那杯酒…是你让沈聿…为了“测试”我？为了看看我是不是够“强硬”？ | 她刻意加重的、不稳定的呼吸声，带着哽咽 | 她眼中迅速蓄起泪水（伪装），但眼神深处是冰冷的计算与杀意 |
| 95 | CU | 面具人似乎对她的“崩溃”很满意，姿态放松了一些，甚至带着一丝“教诲”的口吻。 | 固定 | （面具人）测试是必要的。可惜，你当时的表现…太让人失望。为了个男人，差点毁了那笔关键交易。不过现在…（停顿）你处理陆家的手段，倒是让我刮目相看。看来，挫折能让人成长。 | 他手指轻轻敲击窗框，节奏悠闲 | 他敲击窗框的手指，戴着一枚林晚意极其熟悉的翡翠戒指——那是她父亲多年前赠予这位“长辈”的生日礼物！ |
| 96 | ECU | 林晚意的目光死死锁定那枚戒指，所有伪装瞬间崩塌，只剩下彻骨的冰寒与暴怒。她右手猛地抽出，不是录音笔，而是一支伪装成口红的微型电击器，直指面具人咽喉！ | 甩镜（从戒指特写甩到林晚意攻击动作） | （林晚意，声音降至冰点，字字诛心）陈、叔。看着我长大，叫我爸大哥，收着他送的戒指…然后，亲手给他女儿下药，测试她够不够格当你的棋子？！ | 电击器启动时轻微的“滋滋”电流声，她因暴怒而粗重的呼吸 | 电击器尖端爆出幽蓝色的电弧，照亮她眼中翻涌的滔天恨意 |
| 97 | MS | 面具人（陈叔）显然没料到林晚意瞬间暴起且认出他，仓促后退，撞到身后的杂物，面具歪斜了一角，露出下半张脸熟悉的轮廓。 | 低角度仰拍（陈叔仓皇后退） | （陈叔，变声器失效，露出原本苍老而惊怒的声音）你？！你早就知道了？！ | 杂物被撞倒的哗啦声，面具歪斜的摩擦声 | 面具歪斜处露出的下巴和嘴角，与林晚意记忆中陈叔的脸完全吻合 |
