| 镜号 | 景别 | 画面内容 | 运镜 | 台词 | 音效 | 特效 |
|---|---|---|---|---|---|---|
| 56 | LS | 张明扶着冰冷的楼梯扶手，一步步向下挪。每一步都牵扯到膝盖的剧痛，让他嘴角抽搐。 | 跟拍（从上方俯视） | （无） | 沉重、拖沓的脚步声，压抑的痛哼 | 安全出口的绿光只照亮他头顶一小片，下方楼梯沉入黑暗 |
| 57 | ECU | 他受伤的膝盖。蓝色制服裤在膝盖处磨破，洇开一片深色，不知是汗还是血。 | 快速推近 | （无） | 布料摩擦伤口的细微沙沙声 | 破损处随着他下楼的步伐，不断开合 |
| 58 | MCU | 张明停在大概10层的位置，靠着墙大口喘气。他闭上眼，几秒后猛地睁开，继续向下。 | 固定 | （喘息）不能停…停了…就更起不来了… | 肺部艰难的抽气声，墙壁冰冷的触感 | 他额头的汗水在绿光下反射出油腻的光 |
| 59 | LS | 他终于挪到一楼消防门口。门外是小区路灯的昏黄光线。他推开门的动作异常缓慢。 | 低角度仰拍（从门内向外） | （无） | 生锈合页发出的“吱呀——”长音 | 门外温暖的光线随着门开，像潮水般涌入黑暗的楼梯间 |
| 60 | MS | 张明踉跄着走出消防门，重新回到夜晚的空气中。他第一眼就看向电动车停放的方向。 | 甩镜（从张明脸部甩向电动车） | （嘶哑）手机… | 远处隐约的车流声，夜风吹过树叶的沙沙声 | 电动车孤零零停在路灯下，车旁地面有一小片反光 |
| 61 | CU | 地上，屏幕朝下、蛛网般碎裂的手机。张明拖着腿走过去，蹲下的动作因为膝盖疼痛而变形。 | 跟拍（缓慢下移） | （吸气）嘶—— | 膝盖弯曲时关节的涩响，制服摩擦声 | 碎裂的手机屏幕在路灯下，反射出无数破碎的光点 |
| 62 | ECU | 张明颤抖的手指，小心翼翼地翻转手机。屏幕亮起，但布满彩色条纹和黑斑。 | 推进至屏幕 | （无） | 手指触碰碎玻璃的细微“喀啦”声，手机发出受损的、扭曲的开机音效 | 屏幕上的图像扭曲跳动，APP图标错位 |
| 63 | MCU | 他试图滑动屏幕解锁。手指划过，屏幕毫无反应，只有触摸处的裂纹扩散出新的细纹。 | 固定（聚焦于他反复尝试的手指） | （低声，绝望）动啊…你他妈动啊！ | 指甲用力刮擦玻璃的刺耳声，手机发出短促的、错误的提示音 | 每一次用力，裂纹就像血管一样延伸 |
| 64 | CU | 张明盯着彻底死机的屏幕，脸上的肌肉一点点垮下来。眼神从焦急，到茫然，最后凝固成一片空洞的疲惫。 | 缓慢拉远 | （极轻地）完了… | 夜风吹过，远处传来几声狗吠。一片死寂中，只有他细微的呼吸声。 | 他眼中最后一点光，熄灭了。 |
| 65 | MS | 他维持着蹲姿，一动不动，像一尊凝固的雕塑。手里捧着那块冰冷的、碎裂的玻璃和塑料。 | 低角度仰拍（从地面向上） | （无） | 风声。 | 路灯的光将他和他脚下的影子拉得很长，影子头部正好连接着那辆沉默的电动车。 |
| 66 | ECU | 左手腕的红绳。浸透了汗水和灰尘，颜色污浊，无力地垂落。 | 推近 | （无） | 风声。 | 红绳的特写，背景是他僵直不动的、捧着手机的双手。 |
| 67 | MCU | 张明突然动了。他极其缓慢地，用没受伤的腿支撑着站起来。动作僵硬得像生了锈的机器。 | 跟拍（缓慢上移） | （无） | 关节发出的轻微“咔吧”声，沉重的起身声 | 他站起来的过程，仿佛耗尽了最后一丝力气。 |
| 68 | LS | 他将死机的手机塞进制服口袋，一瘸一拐地走向电动车。每一步都踏在寂静里。 | 固定（远景） | （无） | 不均匀的脚步声，电动车塑料外壳被他身体碰到的轻微声响 | 他的背影在空旷的小区道路上，显得异常孤独、渺小。 |
| 69 | CU | 他跨上电动车，没有立刻拧动电门。而是双手扶着车把，额头抵在冰冷的手背上。肩膀微微耸动了一下。 | 固定（侧后方） | （极压抑的、一声短促的抽气）…哼。 | 夜风拂过电动车帆布保温箱的呼呼声。 | 他抵着额头的双手，指节因为用力而泛白。 |
| 70 | MCU | 几秒钟后，他抬起头，脸上没有任何表情。用还能发力的右手，慢慢拧动了电门。电动车发出低沉的嗡鸣，缓缓启动。 | 推进至他拧动电门的手和面无表情的侧脸 | （无） | 电动车低速行驶的电机声，车轮碾过路面的沙沙声 | 手腕上污浊的红绳，随着车行轻轻晃动。 |

