| 镜号 | 景别 | 画面内容 | 运镜 | 台词 | 音效 | 特效 |
|---|---|---|---|---|---|---|
| 81 | MS | 门被轻轻推开。客厅一片漆黑，只有女儿小房间门缝下透出微弱的台灯光。张明僵在门口，阴影笼罩着他疲惫的脸。 | 固定（从屋内向外拍） | （无） | 门轴轻微的吱呀声、屋内挂钟的滴答声 | 门外走廊的昏暗光线勾勒出他佝偻的轮廓。 |
| 82 | ECU | 张明的眼睛适应黑暗，看向客厅餐桌。桌上扣着几个碗盘，旁边压着一张纸条。他瞳孔微微收缩。 | 快速推近至纸条 | （无） | 自己骤然加重的呼吸声 | 纸条在黑暗中只是一个模糊的白色方块。 |
| 83 | MCU | 他拖着腿挪到桌边，没有开灯，用沾着灰尘和汗渍的手指捻起纸条。借着窗外微弱的路灯光，低头看。 | 低角度仰拍（纸条和张明的下巴） | （无） | 纸张摩擦的窸窣声 | 纸条上的字迹在昏暗光线下难以辨认。 |
| 84 | CU | 纸条特写。是妻子李芳的字迹：“小雅发烧，我带她去儿童医院急诊了。饭在桌上，自己热。手机怎么打不通？”最后一句下面划了重重的线。 | 推进至字迹 | （无） | 无 | “打不通”三个字在张明眼中仿佛被放大、加粗。 |
| 85 | ECU | 张明捏着纸条的手指猛地收紧，将纸条攥成一团。指关节发出轻微的“咔”声。他闭上眼，喉结剧烈滚动了一下。 | 固定 | （极低哑地）…小雅… | 纸张被揉皱的刺耳声音、他喉咙里压抑的哽咽声 | 他紧闭的眼皮下，眼球在剧烈颤动。 |
| 86 | MS | 他猛地转身，因为动作太急牵动伤腿，踉跄着扶住墙壁才站稳。他看向女儿紧闭的房门，眼神里是恐慌和自责。 | 甩镜（从纸条甩向女儿房门） | （喘息） | 身体撞到墙壁的闷响、不均匀的喘息 | 女儿房门在黑暗中像一个沉默的深渊，吸引着他。 |
| 87 | MCU | 他一步一步挪到女儿房门前，手悬在门把手上，犹豫了几秒，最终没有推开。而是将额头轻轻抵在冰凉的门板上。 | 跟拍（缓慢推近） | （无声地，嘴唇蠕动）…对不起… | 额头与木门接触的轻微声响、他压抑到极致的呼吸声 | 门缝下的微光，映亮了他低垂的眼睫和紧抿的嘴角。 |
| 88 | LS | 客厅灯突然被打开！刺眼的白光瞬间充满房间。张明被惊得猛地直起身，抬手遮住眼睛，狼狈地看向门口。 | 快速甩镜（从张明甩向门口光源） | （惊愕）…！ | 开关清脆的“啪”声、突如其来的明亮带来的细微电流嗡鸣 | 强光让他瞬间失明，画面过曝后恢复正常。 |
| 89 | MCU | 门口站着一位六十岁上下、衣着朴素但整洁的老妇人（翁岫华）。她手里拎着一个保温桶，另一只手还按在开关上。脸上带着关切和一丝责备。 | 固定（从张明视角看翁岫华） | （翁岫华，语气温和但直接）小明？黑灯瞎火的，站这儿当门神呢？ | 保温桶放在鞋柜上的轻微碰撞声 | 翁岫华身后的楼道黑暗，更衬得她像一尊突然降临的塑像。 |
