| 镜号 | 景别 | 画面内容 | 运镜 | 台词 | 音效 | 特效 |
|---|---|---|---|---|---|---|
| 26 | ECU | 张明攥着车把的手背青筋暴起。他死死盯着保安，又猛地低头看向手机。倒计时：3分50秒。 | 快速推近至他充血的眼睛 | （无） | 倒计时滴滴声、自己粗重的喘息声 | 手机屏幕的红色倒计时数字在他瞳孔中反射、放大 |
| 27 | MS | 张明突然拧动车把，电动车猛地向前一窜，车头几乎顶到升降杆。保安吓得往后一仰。 | 低角度仰拍（电动车前冲） | （张明，几乎是吼出来的）我孩子等着救命钱！就一分钟！ | 电动车电机突然的咆哮、保安椅子的摩擦声 | 车灯强光直射保安亭，光线刺眼 |
| 28 | CU | 保安被强光晃得眯起眼，脸上闪过一丝错愕和犹豫。他看了看张明焦急到扭曲的脸，又瞥了一眼他手腕上晃动的红绳。 | 固定 | （保安，语气松动）…你… | 对讲机里传来其他保安的询问声：“门口什么事？” | 强光在保安脸上形成强烈的明暗对比 |
| 29 | MCU | 张明不等保安说完，抓住对方犹豫的瞬间，身体向左侧猛地倾斜，单手提起电动车前轮，硬生生将车头挤进了升降杆与保安亭之间狭窄的缝隙。 | 跟拍（侧方） | （张明，从牙缝挤出）谢了！ | 电动车塑料外壳与金属杆剧烈摩擦的刺耳声、车身挤压变形的闷响 | 升降杆被车身挤得向上微微弯曲、颤动 |
| 30 | LS | 电动车以一种近乎倾倒的刁钻角度，擦着保安亭挤进了小区。张明迅速回正车身，头也不回地冲向公寓楼。保安愣在原地，对着对讲机张了张嘴。 | 甩镜（从挤入的瞬间甩向张明远去的背影） | （保安，对着对讲机）…没事，一个送外卖的，进去了。 | 电动车远去的嗡鸣、对讲机滋啦的电流杂音 | 张明蓝色的背影在小区景观灯下迅速变小，融入夜色 |
| 31 | ECU | 手机支架剧烈晃动。屏幕显示：目标公寓楼，3号楼，剩余时间：2分10秒。张明的拇指疯狂点击屏幕，试图提前点“送达”。 | 剧烈晃动的主观镜头 | （急促地）快点…快点啊！ | 手指用力敲击屏幕的“嗒嗒”声、APP“无法提前点送达”的提示音 | 屏幕因点击过快产生触摸涟漪，但“确认送达”按钮仍是灰色 |
| 32 | MS | 电动车一个急刹甩尾，停在3号楼玻璃大门前。张明几乎是摔下车，一把扯下头盔，拎起保温箱就冲向楼内。 | 跟拍（从停车到冲刺） | （喘息，自言自语）18层…1808… | 急刹车声、头盔扔在车座上的碰撞声、张明沉重的脚步声 | 保温箱在他手中剧烈晃动 |
| 33 | CU | 张明冲向电梯间。两部电梯，一部显示正在从25层下降，另一部停在1层但门紧闭。他疯狂按动上行按钮。 | 固定（聚焦于疯狂按动的手指） | （焦急）开门！开门！ | 按钮被连续按压的“啪啪”声、电梯运行的微弱嗡鸣 | 电梯楼层数字缓慢变化：25…24…23… |
| 34 | MCU | 张明抬头盯着缓慢变化的数字，又低头看手机：1分30秒。他脸上闪过绝望，随即猛地转身，扑向旁边的消防通道门。 | 快速甩镜（从电梯数字甩向消防门） | （决绝）爬！ | 消防门被猛地撞开的巨响、手机从支架上被甩脱掉落的闷响 | 手机滑落，屏幕朝下摔在地上，画面黑屏 |

