| 镜号 | 景别 | 画面内容 | 运镜 | 台词 | 音效 | 特效 |
|---|---|---|---|---|---|---|
| 1 | MS | 张明跨坐在电动车上，头盔面罩掀起，汗水顺着鬓角流下。他正低头快速划动手机屏幕，眉头紧锁。 | 固定 | （无） | 城市背景噪音（车流、远处施工声）、手机APP接单提示音急促响起 | 手机屏幕高亮，显示着密集的订单和倒计时，红光闪烁 |
| 2 | CU | 手机屏幕上，一个“加价急单”弹出，配送地址是城市另一端的高档公寓，时间仅剩28分钟。张明的手指悬在屏幕上方，微微颤抖。 | 推进 | （内心独白，画外音）太远了…但加的钱够小雅一周画画班的材料费。 | 心跳声逐渐放大，压过环境音 | 订单倒计时数字跳动，每跳一下，屏幕震动一次 |
| 3 | MCU | 张明猛地抬头，眼神从犹豫转为决绝。他用力扣下面罩，拧动电动车电门。 | 低角度仰拍 | 干了！ | 电动车电机启动的嗡鸣声骤然加大 | 头盔面罩反射出路灯刺眼的光晕，划过画面 |
| 4 | LS | 电动车如离弦之箭窜入夜晚的车流，蓝色的外卖服在霓虹灯下格外显眼，迅速消失在复杂的立交桥阴影中。 | 跟拍（从背后快速拉远） | （无） | 尖锐的风声、混杂的引擎声、喇叭声 | 城市夜景的光斑被拉成流动的线条，画面略带动态模糊 |

| 镜号 | 景别 | 画面内容 | 运镜 | 台词 | 音效 | 特效 |
|---|---|---|---|---|---|---|
| 5 | ECU | 电动车仪表盘。时速指针在“55”处剧烈抖动。张明戴着磨损手套的手紧紧攥着车把，指节发白。 | 固定 | （喘息声） | 电机高频嗡鸣、风声呼啸、仪表盘细微的电流声 | 指针边缘因震动产生重影 |
| 6 | MS | 张明在拥堵的车流中穿梭。他身体前倾，头盔左右快速转动，观察每一个可能的缝隙。一辆轿车突然变道，他猛捏刹车。 | 跟拍（电动车视角） | 我*！ | 尖锐的刹车片摩擦声、后方汽车急促的喇叭声 | 电动车前轮与轿车保险杠距离极近，画面瞬间定格、震动 |
| 7 | CU | 张明面罩后的眼睛瞪大，瞳孔收缩。一滴汗从眉骨滑落，流进眼角。他眨了眨眼。 | 推进 | （无） | 剧烈的心跳声、自己粗重的呼吸声 | 汗珠在面罩上折射出扭曲的霓虹灯光 |
| 8 | LS | 他险险绕过轿车，挤上非机动车道。道旁是正在收摊的夜市，行人、三轮车杂乱无章。 | 甩镜（从轿车甩向夜市） | （对行人喊）借过！借过一下！ | 行人惊呼声、锅碗碰撞声、电动车的警示铃被张明不停按响 | 画面随着甩镜动作产生短暂模糊 |
| 9 | MCU | 手机支架上的屏幕。导航显示剩余12分钟，但前方路段标红“严重拥堵”。张明瞥了一眼，嘴唇抿成一条直线。 | 低角度拍摄（仰拍手机和张明下巴） | （低声咒骂）操。 | APP超时预警的尖锐滴滴声、持续的环境噪音 | 导航路线上的红色拥堵段像血管一样搏动 |
| 10 | ECU | 张明左手腕上那根褪色的红绳，在车把震动中微微摇晃。 | 极速推近 | （无） | 所有环境音骤然减弱，只剩下红绳纤维摩擦的细微窸窣声 | 红绳在画面中央，背景完全虚化 |

