| 镜号 | 景别 | 画面内容 | 运镜 | 台词 | 音效 | 特效 |
|---|---|---|---|---|---|---|
| 35 | ECU | 摔在地上的手机。屏幕蛛网状碎裂，但倒计时数字仍在顽强跳动：1分25秒。 | 俯拍，极速推近 | （无） | 手机内部元件受损的细微电流杂音、倒计时滴滴声变得断续扭曲 | 碎裂的屏幕下，红色数字闪烁，亮度忽明忽暗 |
| 36 | MS | 张明脚步一顿，回头瞥见地上碎裂的手机。他脸上肌肉抽搐，眼中闪过一瞬的崩溃，但立刻咬牙扭回头。 | 甩镜（从手机甩回张明决绝的背影） | （低吼）不管了！ | 自己沉重的呼吸声、消防通道内空洞的回音 | 他冲入消防门的瞬间，门外光线被切断，画面陷入昏暗 |
| 37 | LS | 消防楼梯间。声控灯因巨响亮起，照亮向上盘旋的、无尽的灰色水泥台阶。张明的身影在楼梯上快速跃动。 | 低角度仰拍（从楼梯底部向上） | （无） | 急促、凌乱的脚步声在楼梯间回荡、撞击墙壁 | 声控灯随着他的脚步一层层亮起，形成追逐的光浪 |
| 38 | MCU | 张明单手拎着保温箱，另一只手抓住冰冷的金属扶手借力，一步跨两三级台阶。他的脸因缺氧和用力而涨红。 | 跟拍（侧面，同步上移） | （粗重喘息）哈…哈… | 保温箱撞击大腿的闷响、手掌与金属扶手的摩擦声、肺部的风箱声 | 汗水从他下巴滴落，在台阶上溅开微弱的水花 |
| 39 | CU | 他抬头望向楼梯上方，眼神因疲惫和焦虑有些涣散。楼层标识“8”在视线中晃动。 | 主观镜头（摇晃，模糊） | （内心独白，画外音）一半…才一半… | 自己震耳欲聋的心跳声、血液冲刷耳膜的轰鸣 | 楼层数字“8”产生重影，仿佛在融化 |
| 40 | ECU | 左手腕的红绳。已被汗水浸透，颜色显得更深，紧紧贴在皮肤上。 | 快速推近 | （无） | 环境音减弱，只剩下自己艰难的呼吸和心跳 | 红绳的特写占据整个画面，背景的楼梯虚化成旋转的线条 |
| 41 | MS | 张明脚下一软，一个踉跄，膝盖重重磕在台阶边缘。他闷哼一声，用手撑住，才没摔倒。保温箱脱手，滚落几级台阶。 | 跟拍（晃动，模拟踉跄视角） | （痛哼）呃！ | 膝盖撞击水泥的闷响、保温箱滚落的“哐当”声 | 画面随着踉跄剧烈晃动、旋转 |
| 42 | CU | 他趴在台阶上，急促喘气，额头顶着冰冷的水泥。几秒钟后，他猛地抬起头，眼神里是近乎疯狂的执拗。 | 低角度仰拍（从台阶向上拍他的脸） | （嘶哑）起来…给老子起来！ | 牙齿摩擦的咯咯声、粗粝的喘息 | 汗水混着灰尘，在他脸上留下污迹 |
| 43 | MCU | 他挣扎着爬起，一瘸一拐地冲下去捡起保温箱，检查了一下。然后更用力地攥紧箱子提手，再次向上狂奔。 | 推进（聚焦于他攥紧箱提手、指节发白的手） | （无） | 不均匀的、更沉重的脚步声、保温箱再次撞击身体的声响 | 他奔跑的身影在楼梯间拉出断续的残影 |
| 44 | LS | 消防门被猛地推开。张明跌撞进18层走廊，声控灯亮起。他扶着墙，剧烈咳嗽，视线快速扫过门牌号。 | 从楼梯间内跟拍冲出 | （咳嗽，喘息）1808…1808… | 消防门撞墙的巨响、撕心裂肺的咳嗽声 | 走廊灯光在他汗湿的眼中晕开成光斑 |
| 45 | ECU | 他的眼睛锁定目标：1808的金属门牌。他拖着腿，用最后力气扑到门前。 | 快速推近至门牌 | （无） | 自己濒临极限的喘息声、制服摩擦墙壁的窸窣声 | 门牌号“1808”在视线中逐渐清晰、定格 |

