| 镜号 | 景别 | 画面内容 | 运镜 | 台词 | 音效 | 特效 |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| 1 | LS | 黄昏，都市天际线。车流在高架桥上拉出红色的光轨。镜头快速横摇过密集的写字楼。 | 快速横摇 | (无) | 城市低频轰鸣、隐约警笛声、快节奏电子音乐 | (无) |
| 2 | MCU | 拥挤的后巷。一只戴着磨损骑行手套的手，正用牙齿咬住手套指尖，费力地将其扯下。 | 固定 | (无) | 手套摩擦声、远处厨房排风扇声、其他外卖员吆喝声 | (无) |
| 3 | CU | 手机屏幕。“祝宝贝生日快乐！”备注信息突出显示。发送用户头像是一个笑容灿烂的年轻妈妈。 | 微距推近 | (无) | APP接单提示音（响亮） | 备注文字短暂发光 |
| 4 | MS | 张明挪车，头盔带子没系。他盯着手机屏幕上的时间倒计时，眼神焦虑。 | 跟拍（轻微手持晃动） | 啧。 | 摩擦声、鸣笛声、风声 | 手机屏幕上的倒计时数字闪烁红色 |
| 5 | CU | 蛋糕盒特写。盒子因颠簸轻微滑动，橡皮筋发出“嘣”声。张明的脚慌乱地挡住。 | 低角度，随颠簸轻微晃动 | (无) | 橡皮筋绷紧声、清晰的风噪 | (无) |
| 6 | LS | 电动车在车流中危险地穿梭。 | 从高架桥俯拍 | (无) | 激烈的风声、急促的刹车声 | 背景车辆运动模糊 |
| 7 | LS | 电动车急刹停在那片老旧小区外。镜头从喧嚣的街道缓慢推近向安静的小区入口。 | 缓慢推进 | (喘气声) | 刺耳刹车声后，背景音陡然安静。风声、虫鸣。 | (无) |
| 8 | MS | 张明拎着蛋糕盒站在小区内。他环顾四周，楼宇安静，藤蔓轻摆。他愣了一下。 | 环绕张明缓慢旋转 | (无) | 风吹树叶沙沙声、隐约的评弹声 | (无) |
| 9 | ECU | 一只苍老但干净的手，用喷壶给窗台上一盆茉莉花浇水。水珠在夕阳下晶莹剔透。 | 固定 | (无) | 细微的浇水声、时钟缓慢的“滴答”声 | 光斑在叶片上闪烁 |
| 10 | MCU | 翁岫华的侧影。她坐在旧沙发里，戴着老花镜，端详手中一张褪色的老照片。窗外夕阳给她镀上金边。 | 缓慢推近 | (无) | 时钟滴答声、远处模糊的评弹声 | 老照片有轻微的泛光 |
| 11 | CU | 张明按门铃的手。手指上还有污渍。 | 固定 | (无) | 清脆的门铃声 | (无) |
| 12 | MCU | 门开。从翁岫华背后拍摄，她放下喷壶走向门口的背影，开门后，她看到张明时，背部的微微一顿。 | 固定 | 您好，外卖！ | 门轴声 | (无) |
| 13 | CU | 翁岫华的目光特写。她的视线从张明脸上，缓缓下移，最终锁定在蛋糕盒“快乐宝贝”的卡通图案上。瞳孔有细微收缩。 | 缓慢下摇 | ……外卖？ | 环境音几乎消失，只有轻微的呼吸声 | 蛋糕盒上的卡通图案短暂虚焦，再聚焦 |
| 14 | MCU | 张明递出蛋糕。镜头给到他手腕上褪色红绳的特写。 | 快速推近至张明 | 生日蛋糕。麻烦给个好评！ | 手机低电量提示音 | (无) |
| 15 | MS | 翁岫华接过蛋糕。她苍老的手接过鲜艳的盒子。张明转身跑下楼的动作被加速处理。 | 拉远，张明下楼部分抽帧加速 | (无) | 张明脚步声快速远去、消失 | (无) |
| 16 | LS | 翁岫华独自站在敞开的门口。手里拿着卡通蛋糕盒。楼道昏暗，只有她身后的家门透出暖黄色的光，将她的影子长长地投在楼梯间。 | 极缓慢的后拉 | (无) | 绝对的寂静。然后，一声几乎听不见的、悠长的叹息。 | 影子随着镜头拉远而逐渐拉长、变形 |
| 17 | ECU | 蛋糕盒被放在一张老旧的木质餐桌上。桌面上还有未收走的单人餐具。卡通图案在宁静、怀旧的环境中显得异常突兀和鲜艳。 | 固定 | (无) | 时钟滴答声重新响起，逐渐增强。 | (无) |

