| 镜号 | 景别 | 画面内容 | 运镜 | 台词 | 音效 | 特效 |
|---|---|---|---|---|---|---|
| 33 | MS | 苏黎世机场VIP休息室。林晚意坐在落地窗前，窗外是阿尔卑斯山的晨曦。她面前放着一杯黑咖啡，未动。手中把玩着一枚造型古朴的钥匙。 | 固定 | （对电话）我到了。拍卖会的邀请函，确认收到了吗？ | 休息室轻柔的背景音乐，远处航班起降的轰鸣 | 钥匙在晨光中反射出冷冽的金属光泽 |
| 34 | CU | 钥匙的特写。钥匙柄上雕刻着繁复的藤蔓花纹，中心嵌着一颗极小的、幽蓝色的宝石。 | 推进 | （电话那头，苏晴的声音）收到了。但晚意，我查了，这次拍卖会的主办方背景很深，和欧洲几个老牌家族都有牵连。你要找的“蓝钻之心”，可能是个诱饵。 | 苏晴声音通过听筒传出，略带电流杂音 | 幽蓝宝石内部仿佛有微光流转（极其细微） |
| 35 | ECU | 林晚意的眼神骤然锐利，指尖收紧，钥匙硌在掌心。 | 固定 | （低声）诱饵？那正好。看看是谁在钓鱼，鱼线又握在谁手里。 | 钥匙与掌心皮肤摩擦的细微声响 | 她瞳孔收缩，映出钥匙的倒影，仿佛深渊 |
| 36 | LS | 休息室门被推开，一名身着考究西装、气质阴郁的中年男子在侍者引导下走入，目光精准地投向林晚意。 | 从林晚意视角跟拍（男子走近） | （男子，德语口音的英语）林小姐？久仰。我是拍卖会的联络人，汉斯。 | 皮鞋踩在地毯上的沉闷声响，侍者退下的脚步声 | 男子身后的光影似乎比别处更暗，如同自带阴影 |
| 37 | MCU | 林晚意缓缓放下钥匙，端起咖啡杯，并未起身，只是抬眸看向汉斯。 | 低角度仰拍（林晚意视角） | （平静）汉斯先生。邀请函上说，拍卖品预览在下午两点。 | 咖啡杯与杯碟轻碰的脆响 | 无 |
| 38 | CU | 汉斯在林晚意对面坐下，双手交叠放在膝上，露出一个程式化的微笑。 | 固定 | （汉斯）时间有变。卖家希望...先见见最有诚意的几位买家。比如，对“蓝钻之心”志在必得的您。 | 西装布料摩擦的声音 | 他交叠的双手，指关节处有细微的疤痕（特写一闪而过） |
| 39 | ECU | 林晚意抿了一口咖啡，苦味在舌尖化开。她放下杯子，目光与汉斯对视，毫不退让。 | 推进 | （语气转冷）卖家是谁？ | 吞咽液体的细微声响 | 咖啡液面因放下杯子的动作泛起涟漪，逐渐平息 |
| 40 | MS | 汉斯身体微微前倾，压低声音。休息室里其他客人似乎都自动远离了这个角落。 | 跟拍（汉斯动作） | （汉斯，声音更轻）一个您或许认识的人。他说...您手腕上的疤痕，应该还记得三年前巴黎的那场“意外”。 | 背景音乐似乎突然变得遥远、扭曲 | 林晚意手腕处的疤痕仿佛被无形的针扎了一下，瞬间刺痛（心理暗示，画面轻微震动） |
| 41 | CU | 林晚意左手手腕下意识地缩回袖口，但面色丝毫未变，甚至勾起一抹冷笑。 | 固定 | （冷笑）原来是他。看来我这次，是来对了。 | 袖口布料摩擦手腕的声音 | 她眼中寒光乍现，如同出鞘的利刃 |
| 42 | LS | 林晚意站起身，居高临下地看着汉斯。汉斯也随之起身。 | 低角度仰拍（林晚意） | （命令口吻）带路。我要见他。现在。 | 椅子腿与地毯摩擦的闷响 | 林晚意站起时，窗外的晨光为她勾勒出一道凛冽的轮廓光 |

